,addr,type,token_vol_sum,token_vol_count,block_time,BSC,Gnosis,Optimism,Arbitrum
45,0x3fce98809bef3782b1c7fd4674f3ea856cd5f246,ether,0.0056,4,"['2022-08-05T00:57:47Z', '2022-08-05T06:48:19Z', '2022-08-06T10:02:57Z', '2022-08-29T01:59:37Z']",0,0,0,0
46,0x41f6ce42940ffc7295bf36ea90d3ad1a1902e37c,ether,0.00616,4,"['2022-08-05T01:01:21Z', '2022-08-05T06:35:34Z', '2022-08-06T10:06:31Z', '2022-08-29T01:59:37Z']",0,0,0,0
47,0x42b9ed2779bd96fae33cf9cadc84ac27019e1a15,ether,0.00634,4,"['2022-08-05T00:41:44Z', '2022-08-05T07:37:06Z', '2022-08-06T09:47:00Z', '2022-08-28T17:34:53Z']",0,0,0,0
48,0x4387f1cbacabf6a514e8653eacc086998c14ea41,ether,0.00595,4,"['2022-08-05T00:41:22Z', '2022-08-05T08:44:59Z', '2022-08-06T09:47:00Z', '2022-08-28T21:15:20Z']",0,0,0,0
49,0x43a932fc029bc214e6458d8d84bdb1d0a31cb743,ether,0.00569,4,"['2022-08-05T00:36:47Z', '2022-08-05T06:44:15Z', '2022-08-06T09:45:13Z', '2022-08-29T01:59:52Z']",0,0,0,0
50,0x4412beedc64f5b1ac6b7c016c03363a6f575d0ff,ether,0.00634,4,"['2022-08-05T00:56:01Z', '2022-08-05T06:44:15Z', '2022-08-06T10:09:16Z', '2022-08-28T17:34:54Z']",0,0,0,0
51,0x45bf316b109e5ed079d034f753f66bc5fe27d1ff,ether,0.00481,4,"['2022-08-05T00:35:24Z', '2022-08-05T08:44:59Z', '2022-08-06T09:45:13Z', '2022-08-28T17:34:53Z']",0,0,0,0
52,0x45fe72a0f491358aff381acbdbe0a66b3bc34397,ether,0.00534,4,"['2022-08-05T01:00:06Z', '2022-08-05T06:48:19Z', '2022-08-06T10:04:38Z', '2022-08-28T17:34:53Z']",0,0,0,0
53,0x460dbf465fd3914bf8fd417eb754787cd896f003,ether,0.00532,4,"['2022-08-05T00:29:37Z', '2022-08-05T06:46:37Z', '2022-08-06T09:37:16Z', '2022-08-28T17:34:54Z']",0,0,0,0
54,0x46c78a1eb1fa3c441306ccc94fe633d8db6769eb,ether,0.00598,4,"['2022-08-05T00:43:03Z', '2022-08-05T06:44:15Z', '2022-08-06T09:48:09Z', '2022-08-29T01:59:37Z']",0,0,0,0
55,0x46e0127621c7c1cbba0c5012f39d7737c352c9b6,ether,0.00565,4,"['2022-08-05T00:30:55Z', '2022-08-05T06:46:37Z', '2022-08-06T09:38:07Z', '2022-08-29T01:59:37Z']",0,0,0,0
56,0x49c0c92be50e1353e8d99aa076ca8f8d994a37c2,ether,0.00594,4,"['2022-08-05T00:54:02Z', '2022-08-05T06:44:15Z', '2022-08-06T09:58:41Z', '2022-08-29T01:59:37Z']",0,0,0,0
57,0x4a26b9d2122830461375aeeb2adfe012565e1d81,ether,0.0055,4,"['2022-08-05T00:40:56Z', '2022-08-05T06:22:43Z', '2022-08-06T09:45:22Z', '2022-08-28T21:15:30Z']",0,0,0,0
58,0x4adfe1805799ec381886933421fcb853db9ed3ea,ether,0.0052,4,"['2022-08-05T00:27:29Z', '2022-08-05T06:22:43Z', '2022-08-06T09:34:04Z', '2022-08-28T21:15:30Z']",0,0,0,0
59,0x4dc75b1cba0c317c101cf6b03cc643bb8b0bc49b,ether,0.00544,4,"['2022-08-05T00:42:19Z', '2022-08-05T06:22:43Z', '2022-08-06T09:47:39Z', '2022-08-28T17:34:53Z']",0,0,0,0
60,0x502e033dea88ddeade8821e956d3561d01bd50cd,ether,0.00621,4,"['2022-08-05T00:47:48Z', '2022-08-05T06:22:43Z', '2022-08-06T09:55:02Z', '2022-08-29T01:59:41Z']",0,0,0,0
61,0x5168362bf8506dcd2023ebe906b34d44dc824cab,ether,0.00497,4,"['2022-08-05T00:46:50Z', '2022-08-05T06:44:15Z', '2022-08-06T09:51:59Z', '2022-08-29T01:59:37Z']",0,0,0,0
62,0x51cdf09d77421643f1f9710d991d5430ac12ef2e,ether,0.00492,4,"['2022-08-05T00:50:53Z', '2022-08-05T08:44:59Z', '2022-08-06T09:55:33Z', '2022-08-28T17:34:53Z']",0,0,0,0
63,0x51e1d10940920e9aee1de6dcbff90dc5abbefaf1,ether,0.00498,4,"['2022-08-05T00:35:24Z', '2022-08-05T08:46:11Z', '2022-08-06T09:42:05Z', '2022-08-29T01:59:41Z']",0,0,0,0
64,0x54450a942f1c87ccd2603165ab751d0bdeb2e7f1,ether,0.00545,4,"['2022-08-05T00:36:47Z', '2022-08-05T06:35:34Z', '2022-08-06T09:44:32Z', '2022-08-29T01:59:37Z']",0,0,0,0
65,0x556b6508bc8c82bd62ae50b98e289a724d4c64e8,ether,0.00608,4,"['2022-08-05T00:34:55Z', '2022-08-05T08:44:59Z', '2022-08-06T09:45:13Z', '2022-08-28T17:34:53Z']",0,0,0,0
66,0x55b95c4048b95a4b09b15de175a2783aa3fc27f2,ether,0.00639,4,"['2022-08-05T00:36:47Z', '2022-08-05T08:44:05Z', '2022-08-06T09:41:23Z', '2022-08-28T17:34:53Z']",0,0,0,0
67,0x5731ed586b64e5bc929faf5e324b7bf6d0e300ed,ether,0.00599,4,"['2022-08-05T00:47:48Z', '2022-08-05T06:22:43Z', '2022-08-06T09:52:35Z', '2022-08-28T17:34:54Z']",0,0,0,0
68,0x576a664592d5a8041bf36de62f0dc68dd2538d26,ether,0.0046,4,"['2022-08-05T00:39:21Z', '2022-08-05T06:46:37Z', '2022-08-06T09:44:32Z', '2022-08-28T17:34:54Z']",0,0,0,0
69,0x57eff7cf7bf0154544b295cea5387ea870d49a9c,ether,0.00624,4,"['2022-08-05T00:51:56Z', '2022-08-05T06:35:34Z', '2022-08-06T09:56:41Z', '2022-08-28T17:34:53Z']",0,0,0,0
70,0x58406fe5212a84093067d4903fe53fba33eb90b1,ether,0.00508,4,"['2022-08-05T00:46:50Z', '2022-08-05T06:44:15Z', '2022-08-06T09:51:59Z', '2022-08-28T17:34:53Z']",0,0,0,0
71,0x58716bab52f1d0dbdf59fce94c2e93497ce0d650,ether,0.00507,4,"['2022-08-05T00:57:47Z', '2022-08-05T06:44:15Z', '2022-08-06T10:02:57Z', '2022-08-28T17:34:54Z']",0,0,0,0
72,0x58ad3f6263ec5a080f52668e0114ab3c7dc4d5f4,ether,0.00564,4,"['2022-08-05T00:38:07Z', '2022-08-05T06:22:43Z', '2022-08-06T09:45:22Z', '2022-08-28T21:15:30Z']",0,0,0,0
73,0x59f3b6aff0122327ac5847341ec3615741bfb533,ether,0.00607,4,"['2022-08-05T00:55:33Z', '2022-08-05T06:35:34Z', '2022-08-06T10:10:06Z', '2022-08-28T17:34:53Z']",0,0,0,0
74,0x5c24567a8883c2855ed7fc870117c6477f20c6e4,ether,0.00553,4,"['2022-08-05T00:32:33Z', '2022-08-05T06:48:19Z', '2022-08-06T09:37:24Z', '2022-08-28T17:34:53Z']",0,0,0,0
75,0x5f5c9af7071f09855799f311be86d55fb3566d15,ether,0.00596,4,"['2022-08-05T00:31:25Z', '2022-08-05T06:44:15Z', '2022-08-06T09:37:16Z', '2022-08-28T17:34:54Z']",0,0,0,0
76,0x5fabbcd93604f9bbb4f38b313577c1200923ae06,ether,0.00646,4,"['2022-08-05T01:01:21Z', '2022-08-05T08:44:59Z', '2022-08-06T10:06:31Z', '2022-08-28T17:34:54Z']",0,0,0,0
77,0x6046ee80065e6d2d7b03239b9db4c68e8034a3de,ether,0.00619,4,"['2022-08-05T00:29:11Z', '2022-08-05T06:35:34Z', '2022-08-06T09:36:15Z', '2022-08-28T17:34:54Z']",0,0,0,0
78,0x62424ffcb2f989b690c767ba19f4b1659dca0dca,ether,0.00595,4,"['2022-08-05T00:43:03Z', '2022-08-05T06:46:37Z', '2022-08-06T09:47:46Z', '2022-08-29T01:59:37Z']",0,0,0,0
79,0x632e13064933ae40d56942d1bc15c240c2ae4d61,ether,0.00471,4,"['2022-08-05T00:50:53Z', '2022-08-05T08:44:59Z', '2022-08-06T09:55:33Z', '2022-08-28T17:34:53Z']",0,0,0,0
80,0x637f3093e74719737159328ba3ff3bab316d40a8,ether,0.00492,4,"['2022-08-05T00:31:25Z', '2022-08-05T06:46:37Z', '2022-08-06T09:36:15Z', '2022-08-29T01:59:52Z']",0,0,0,0
81,0x63a50db7006912a1cbace03f17186ce2260fb8b9,ether,0.00523,4,"['2022-08-05T00:40:56Z', '2022-08-05T06:22:43Z', '2022-08-06T09:48:13Z', '2022-08-29T01:59:37Z']",0,0,0,0
82,0x63cc720927d98735e318c9c925c12afed661795c,ether,0.00551,4,"['2022-08-05T00:30:15Z', '2022-08-05T06:22:43Z', '2022-08-06T09:36:15Z', '2022-08-29T01:59:37Z']",0,0,0,0
83,0x65704cb168ed6b1569fe466d3e21fc71606ec534,ether,0.00555,4,"['2022-08-05T00:39:04Z', '2022-08-05T08:44:05Z', '2022-08-06T09:45:20Z', '2022-08-28T17:34:53Z']",0,0,0,0
84,0x67c7b941a6bed59a1ea529058b9a6c799f5317a0,ether,0.00641,4,"['2022-08-05T00:37:26Z', '2022-08-05T07:37:06Z', '2022-08-06T09:44:32Z', '2022-08-28T17:34:53Z']",0,0,0,0
85,0x6935a43226faeddc102464efff26ad36536893bd,ether,0.00612,4,"['2022-08-05T00:27:29Z', '2022-08-05T06:22:43Z', '2022-08-06T09:35:45Z', '2022-08-28T17:34:53Z']",0,0,0,0
86,0x6c4f96209b94091ca95c0f5d72b78aa8956c2563,ether,0.00631,4,"['2022-08-05T00:29:11Z', '2022-08-05T06:44:15Z', '2022-08-06T09:36:15Z', '2022-08-29T01:59:41Z']",0,0,0,0
87,0x6d0e9e5562500717323a7ccef6551476766d27b7,ether,0.0046,4,"['2022-08-05T00:47:48Z', '2022-08-05T06:22:43Z', '2022-08-06T09:55:02Z', '2022-08-29T01:59:52Z']",0,0,0,0
88,0x6d6757abd430283ee7930cb5f739d1e159d02892,ether,0.00511,4,"['2022-08-05T00:54:02Z', '2022-08-05T08:44:59Z', '2022-08-06T09:58:54Z', '2022-08-29T01:59:37Z']",0,0,0,0
89,0x6eec0c6ac830c335bf6a729bc906a3ba803a4188,ether,0.00631,4,"['2022-08-05T00:43:43Z', '2022-08-05T06:46:37Z', '2022-08-06T09:48:23Z', '2022-08-29T01:59:52Z']",0,0,0,0
90,0x7354a266f4fa66d991b30e6402c499e9d17f836b,ether,0.00515,4,"['2022-08-05T00:44:47Z', '2022-08-05T08:39:58Z', '2022-08-06T09:50:40Z', '2022-08-28T21:15:20Z']",0,0,0,0
91,0x73a74cb40a2242a9108f4c4c9149ff9a310a0e53,ether,0.00491,4,"['2022-08-05T00:55:23Z', '2022-08-05T08:44:59Z', '2022-08-06T10:04:43Z', '2022-08-28T21:15:30Z']",0,0,0,0
92,0x74520bebbf0ba5be15373621845e51045387a227,ether,0.00596,4,"['2022-08-05T00:53:01Z', '2022-08-05T06:48:19Z', '2022-08-06T09:58:54Z', '2022-08-28T17:34:54Z']",0,0,0,0
93,0x7543e222602d25a9cd83a49fcb8156a7982869a2,ether,0.00571,4,"['2022-08-05T01:00:06Z', '2022-08-05T06:44:15Z', '2022-08-06T10:03:55Z', '2022-08-28T17:34:53Z']",0,0,0,0
94,0x75d6f1fb7b75e82d1334549736d6bd848ca86f1a,ether,0.00541,5,"['2022-08-05T00:27:29Z', '2022-08-05T05:01:25Z', '2022-08-05T05:47:53Z', '2022-08-06T09:38:07Z', '2022-08-28T17:34:53Z']",0,0,0,0
95,0x75ecbaed6d5647890e947808054a25c6d96a5ec1,ether,0.00649,4,"['2022-08-05T00:57:47Z', '2022-08-05T06:44:15Z', '2022-08-06T10:02:57Z', '2022-08-29T01:59:52Z']",0,0,0,0
96,0x77739a1bae25f881245c8e6350363bf2861d0a13,ether,0.00534,4,"['2022-08-05T00:27:29Z', '2022-08-05T05:53:20Z', '2022-08-06T09:36:15Z', '2022-08-29T01:59:37Z']",0,0,0,0
97,0x7839ab0ffcefb6dc26fd661cab2d756351d1f3ab,ether,0.00535,4,"['2022-08-05T01:01:33Z', '2022-08-05T06:48:19Z', '2022-08-06T10:06:31Z', '2022-08-28T17:34:54Z']",0,0,0,0
98,0x78e9dcbab5f8fb0cabba03606d7897c81c6ac291,ether,0.00616,4,"['2022-08-05T00:43:43Z', '2022-08-05T06:22:43Z', '2022-08-06T09:48:33Z', '2022-08-28T17:34:53Z']",0,0,0,0
99,0x7a8714a46d70f8214275b07ab7a19ebfe312b527,ether,0.00606,4,"['2022-08-05T00:28:36Z', '2022-08-05T06:22:43Z', '2022-08-06T09:34:04Z', '2022-08-28T17:34:53Z']",0,0,0,0
100,0x7b3c6405338fdc09e2cb31c02cbe50c2b28121b2,ether,0.00511,4,"['2022-08-05T00:44:47Z', '2022-08-05T06:44:15Z', '2022-08-06T09:50:26Z', '2022-08-28T17:34:54Z']",0,0,0,0
101,0x7be985b997cc84110328289c84c513a0e51e7ab9,ether,0.00492,4,"['2022-08-05T00:39:21Z', '2022-08-05T08:42:48Z', '2022-08-06T09:44:28Z', '2022-08-28T17:34:53Z']",0,0,0,0
102,0x7c3522b0db0b58ae6a88217745115b7034e3a0ed,ether,0.00518,4,"['2022-08-05T00:59:27Z', '2022-08-05T06:48:19Z', '2022-08-06T10:03:55Z', '2022-08-29T01:59:37Z']",0,0,0,0
103,0x7c4a07fc965ffd8404441cab2b1bcbba3fdad0fa,ether,0.00579,4,"['2022-08-05T00:43:03Z', '2022-08-05T06:44:15Z', '2022-08-06T09:48:09Z', '2022-08-28T17:34:53Z']",0,0,0,0
104,0x7da590f6428152112bd3927fb3508bfce65b97ad,ether,0.00576,4,"['2022-08-05T00:55:33Z', '2022-08-05T06:46:37Z', '2022-08-06T10:10:06Z', '2022-08-29T01:59:37Z']",0,0,0,0
105,0x805ca2eeba31f315269a4f1f9981446ce17c27b6,ether,0.00535,4,"['2022-08-05T00:58:10Z', '2022-08-05T08:44:59Z', '2022-08-06T10:02:57Z', '2022-08-28T17:34:53Z']",0,0,0,0
106,0x820ff466d10c036363ab6933d9e8653a3118f56a,ether,0.00497,4,"['2022-08-05T00:56:29Z', '2022-08-05T06:35:34Z', '2022-08-06T10:02:57Z', '2022-08-29T01:59:37Z']",0,0,0,0
107,0x83ee0333cfb3eb4aa14188c099d3c9e5ca3dadec,ether,0.00542,4,"['2022-08-05T00:47:25Z', '2022-08-05T06:35:34Z', '2022-08-06T09:51:59Z', '2022-08-28T17:34:54Z']",0,0,0,0
108,0x85a97318db245ee5aaad85ca1280014c78171670,ether,0.00558,4,"['2022-08-05T00:46:15Z', '2022-08-05T08:44:59Z', '2022-08-06T09:51:13Z', '2022-08-28T17:34:54Z']",0,0,0,0
109,0x85d1e464f0faf2b6ffd71350a8c667b281343e81,ether,0.00566,4,"['2022-08-05T00:35:24Z', '2022-08-05T06:44:15Z', '2022-08-06T09:42:05Z', '2022-08-28T17:34:54Z']",0,0,0,0
110,0x86516b9e9111e57930e5a3e5d3ce30b4eadf38fe,ether,0.00632,4,"['2022-08-05T00:39:04Z', '2022-08-05T06:46:37Z', '2022-08-06T09:45:20Z', '2022-08-29T01:59:37Z']",0,0,0,0
111,0x877b3f0dfa0a37e27b2194e90ab40343f0792e79,ether,0.0062,4,"['2022-08-05T00:42:19Z', '2022-08-05T06:22:43Z', '2022-08-06T09:47:39Z', '2022-08-28T21:15:30Z']",0,0,0,0
112,0x8885b4945b98d313f55f3998ec69ed9d3fd3c3ae,ether,0.00464,4,"['2022-08-05T00:39:04Z', '2022-08-05T08:42:48Z', '2022-08-06T09:44:28Z', '2022-08-28T21:15:30Z']",0,0,0,0
113,0x89dfe63274439ca32a0a132088381006ddb10259,ether,0.00453,4,"['2022-08-05T01:00:31Z', '2022-08-05T06:35:34Z', '2022-08-06T10:06:31Z', '2022-08-28T17:34:53Z']",0,0,0,0
114,0x8a0068e16d4203bbd469f1efcb7119d72352874d,ether,0.00535,4,"['2022-08-05T00:59:08Z', '2022-08-05T08:42:48Z', '2022-08-06T10:03:24Z', '2022-08-29T01:59:37Z']",0,0,0,0
115,0x8da6b885d9ccbe0a63b3fe86dcf919a5277a591b,ether,0.00621,4,"['2022-08-05T00:37:26Z', '2022-08-05T06:44:15Z', '2022-08-06T09:44:32Z', '2022-08-28T17:34:54Z']",0,0,0,0
116,0x8edee02a47b2cb8a4c89709cd876ab214ab8836f,ether,0.00569,4,"['2022-08-05T00:29:08Z', '2022-08-05T08:44:59Z', '2022-08-06T09:39:06Z', '2022-08-28T17:34:53Z']",0,0,0,0
117,0x8f105799a3adc9e012d38921e8c0467f6d86dcd0,ether,0.0052,4,"['2022-08-05T01:01:33Z', '2022-08-05T06:44:15Z', '2022-08-06T10:06:31Z', '2022-08-29T01:59:37Z']",0,0,0,0
118,0x9039319d752b1fca07d2f4b2bac26a78b5bca6f2,ether,0.00471,4,"['2022-08-05T00:50:53Z', '2022-08-05T06:46:37Z', '2022-08-06T09:55:49Z', '2022-08-29T01:59:37Z']",0,0,0,0
